,authors,journal,title,published,keywords
0,"Leticia Bode, Emily K. Vraga ",Political Communication,Studying Politics Across Media,2018,"affordances, media, platforms, research agenda"
1,"Taewoo Kang, Erika Franklin Fowler, Michael M. Franz, Travis N. Ridout ",Political Communication,Issue Consistency? Comparing Television Advertising,2018,"campaigns, advertising, e-mail, Twitter"
2,"Sebastian Stier, Arnim Bleier, Haiko Lietz, Markus Strohmaier ",Political Communication,Election Campaigning on Social Media: Politicians,2018,"cross-media analysis, language models, online campaigning, social media, text analysis"
3,"Sanne Kruikemeier, Sophie Lecheler, Ming M. Boyer ",Political Communication,Learning From News on Different Media Platforms: An Eye-Tracking Experiment,2018,"news website, printed newspaper, platforms, learning, experiment, eye tracking"
4,Emily Sydnor ,Political Communication,Platforms for Incivility: Examining Perceptions Across Different Media Formats,2018,"hybridity, incivility, media platforms, mix of attributes theory, perceptions"
5,"Sebastián Valenzuela, Teresa Correa, Homero Gil de Zúñiga ",Political Communication,Ties,2018,"political behavior, protest, social media, social networks, strong ties, weak ties"
6,"Daniel Kreiss, SHANNON C. MCGREGOR ",Political Communication,Technology Firms Shape Political Communication: The Work of Microsoft,2018,"Facebook, 2016 U.S. Presidential Election, digital politics, political campaigning, social media"
7,"Kjerstin Thorson, Yu Xu, Stephanie Edgerly ",Political Communication,Political Inequalities Start at Home: Parents,2018,"political interest, socialization, social media, youth participation"
8,"Drew B. Margolin, Aniko Hannak, Ingmar Weber ",Political Communication,Political Fact-Checking on Twitter: When Do Corrections Have an Effect?,2018,"accountability, fact-checking, misinformation, rumor, social networks"
9,Andrew Gooch ,Political Communication,Ripping Yarn: Experiments on Storytelling by Partisan Elites,2018,"Experiments, narratives, campaigns, persuasion"
10,"Georgia Kernell, PJ Lamberson, John Zaller ",Political Communication,Market Demand for Civic Affairs News,2018,"television news, civic affairs, supply and demand for news, O.J. Simpson, soft and hard news"
11,"David Johann, Katharina Kleinen-von Königslöw, Sylvia Kritzinger, Kathrin Thomas ",Political Communication,Intra-Campaign Changes in Voting Preferences: The Impact of Media and Party Communication,2018,"integrated data design, interpersonal and impersonal party communication, intra-campaign effects, media effects, persuasion, voting behavior"
12,"Kyu S. Hahn, Hye-Yon Lee, Seyong Ha, Seulgi Jang, Joonwhan Lee ",Political Communication,The Influence of “Social Viewing” on Televised Debate Viewers’ Political Judgment,2018,"Social Viewing, Televised Debate, Real-time Candidate Evaluation, Bandwagon Effect"
13,Michael Tesler ,Political Communication,Elite Domination of Public Doubts About Climate Change (Not Evolution),2018,"Climate change, evolution, elite domination, opinion change"
14,"Nathan P. Kalmoe, Joshua R. Gubler, David A. Wood ",Political Communication,Toward Conflict or Compromise? How Violent Metaphors Polarize Partisan Issue Attitudes,2018,"aggression, issue frames, metaphors, partisan polarization, policy attitudes"
15,"Allison M. Archer, Joshua Clinton ",Political Communication,Changing Owners,2018,"Media owners, newspapers, political news"
16,"Debby Vos, Peter Van Aelst ",Political Communication,Does the Political System Determine Media Visibility of Politicians? A Comparative Analysis of Political Functions in the News in Sixteen Countries,2018,"Political news, media visibility, comparative politics, content analysis"
17,"Mariken Van Der Velden, Gijs Schumacher, Barbara Vis ",Political Communication,Living in the Past or Living in the Future? Analyzing Parties’ Platform Change In Between Elections,2018,"political parties’ strategies, electoral performance, anticipation of opinion polls, government-opposition dynamics, topic modeling"
18,"Jesper Strömbäck, Kajsa Falasca, Sanne Kruikemeier ",Political Communication,The Mix of Media Use Matters: Investigating the Effects of Individual News Repertoires on Offline and Online Political Participation,2018,"media effects, news consumption, political participation"
19,"Jürgen Maier, Anna-Maria Renner ",Political Communication,When a Man Meets a Woman: Comparing the Use of Negativity of Male Candidates in Single- and Mixed-Gender Televised Debates,2018,"attacks, incivility, gender, televised debates, content analysis"
20,"Patrick C. Meirick, Gwendelyn S. Nisbett, Lindsey A. Harvell-Bowman, Kylie J. Harrison, Matthew D. Jefferson, Tae-Sik Kim, Michael W. Pfau ",Political Communication,To Tell the Truth: Ad Watch Coverage,2018,"Political advertising, Negative advertising, Ad watches, Political journalism, Fact checking"
21,"Joseph Kahne, Benjamin Bowyer ",Political Communication,The Political Significance of Social Media Activity and Social Networks,2018,"Political Participation, Social Media, Youth, online politics, social networks"
22,"Young Mie Kim, Jordan Hsu, David Neiman, Colin Kou, Levi Bankston, Soo Yun Kim, Richard Heinrich, Robyn Baragwanath, Garvesh Raskutti ",Political Communication,The Stealth Media? Groups and Targets behind Divisive Issue Campaigns on Facebook,2018,"election campaigns, digital political advertising, facebook, outside groups, disinformation"
23,"Laia Castro-Herrero, Lilach Nir, Morten Skovsgaard ",Political Communication,Bridging Gaps in Cross-Cutting Media Exposure: The Role of Public Service Broadcasting,2018,"selective exposure, cross-national and comparative, survey research, public broadcasting, news media"
24,"Matthew P. Hitt, Kathleen Searles ",Political Communication,Media Coverage and Public Approval of the U.S. Supreme Court,2018,"Supreme Court, public opinion, television news media, game frame"
25,"Sebastian Hellmeier, Nils B. Weidmann, Espen Geelmuyden Rød ",Political Communication,In the Spotlight: Analyzing Sequential Attention Effects in Protest Reporting,2018,"Media bias, attention effects, protest, authoritarian regimes"
26,"Alejandro Flores, Alexander Coppock ",Political Communication,Do Bilinguals Respond More Favorably to Candidate Advertisements in English or in Spanish?,2018,"Latino politics, persuasion, survey experiment"
27,"Kim Andersen, David Nicolas Hopmann ",Political Communication,Compensator,2018,"news media use, political talk, political knowledge, panel survey"
28,Edson C. Tandoc Jr. ,Journalism Studies,Gatekeeping Influences and Journalistic Capital,2018,"cultural capital, economic capital, field theory, gatekeeping, influence, journalists, Philippines"
29,"Ramona Vonbun-Feldbauer, Jörg Matthes ",Journalism Studies,Do Channels Matter?,2018,"agenda building, media characteristic, news sources, newspapers, newswires, online news sites, party press releases, television newscasts"
30,Ulrika Olausson ,Journalism Studies,The Celebrified Journalist,2018,"celebrification, critical discourse analysis (CDA), journalism, journalistic identity, self-commodification, selfies, self-production, social media"
31,"Michael Koliska, Kalyani Chadha ",Journalism Studies,Transparency in German Newsrooms,2018,"diffusion of innovation, Germany, journalism, newsrooms, professional norms, transparency"
32,Patrick Ferrucci ,Journalism Studies,Are You Experienced?,2018,"cumulative advantage, digital journalism, experience, in-depth interviews, journalism norms"
33,Sherry S. Yu ,Journalism Studies,The Commercialization of Journalism,2018,"audience commodity, business strategies, commercialization of journalism, digital era, ethnic media, news production"
34,Sarah Niblock ,Journalism Studies,“He Just Snapped”,2018,"child killing, crime reporting, filicide, gender, news sources, news values"
35,"Christoph Plewe, Elfriede Fürsich ",Journalism Studies,Are Newsgames Better Journalism?,2018,"digital journalism, distant suffering, empathy, migration, newsgames, refugees representing the Other, serious games"
36,Adina Schneeweis ,Journalism Studies,The Imagined Backward and Downtrodden Other,2018,"discrimination, foreign news, Gypsy, human rights, newspapers, other, Roma, US press"
37,"Antonis Kalogeropoulos, Rasmus Kleis Nielsen ",Journalism Studies,Investing in Online Video News,2018,"comparative research, digital media, Facebook, Google, innovation, journalism, online video news, platforms"
38,Anders Olof Larsson ,Journalism Studies,The News User on Social Media,2018,"Facebook, Instagram, interactivity, Norway, social media"
39,"Antonio Jose Pedroso Neto, Tomás Undurraga ",Journalism Studies,The Elective Affinity Between Elite Journalists and Mainstream Economists in Brazil,2018,"Brazil, economic journalism, elective affinity, financialization, mainstream economists, multiple correspondence analysis, professional dynamic"
40,Jelle Boumans ,Journalism Studies,Subsidizing The News?,2018,"agenda building, automated content analysis, churnalism, information subsidies, news agency, news production, political economy, press releases"
41,"Serena Carpenter, Anthony Cepak, Zhao Peng ",Journalism Studies,An Exploration of the Complexity of Journalistic Interviewing Competencies,2018,"competency, empathy, journalistic interviewing, listening, news judgment, observation, research, verification"
42,"Erin Hawley, Katrina Clifford, Claire Konkes ",Journalism Studies,The “Rosie Batty Effect” and the Framing of Family Violence in Australian News Media,2018,"domestic violence, family violence, framing, Rosie Batty"
43,"Andrea Masini, Peter Van Aelst, Thomas Zerback, Carsten Reinemann, Paolo Mancini, Marco Mazzoni, Marco Damiani, Sharon Coen ",Journalism Studies,Measuring and Explaining the Diversity of Voices and Viewpoints in the News,2018,"comparative research, content analysis, content diversity, journalism, multilevel, news"
44,"Peter Maurer, Markus Beiler ",Journalism Studies,Networking and Political Alignment as Strategies to Control the News,2018,"influence, interaction culture, journalist–source interaction, journalist–source relations, news production, political elites, power balance"
45,"Johan Lindell, Paola Sartoretto ",Journalism Studies,Young People,2018,"audience fragmentation, Bourdieu, class, comparative study, focus groups, news consumption, young people"
46,"Maria Haigh, Thomas Haigh, Nadine I. Kozak ",Journalism Studies,Stopping Fake News,2018,"fact checking, fake news, propaganda, Russia, trolling, Ukraine, virtual teams"
47,"Mirjam Vossen, Baldwin van Gorp, Lau Schulpen ",Journalism Studies,Thinking and Writing About Global Poverty,2018,"cognitive frames, frame analysis, frame building, global poverty, journalists, media routines"
48,"Mariska Kleemans, Gabi Schaap, Mitchel Suijkerbuijk ",Journalism Studies,Getting Youngsters Hooked on News,2018,"age differences, appreciation, information processing, inverted pyramid, narrative news, young news users"
49,"Karen McIntyre, Meghan Sobel ",Journalism Studies,Reconstructing Rwanda,2018,"constructive journalism, interviews, journalistic roles, restorative narrative, Rwanda, solutions journalism"
50,"Per Oleskog Tryggvason, Jesper Strömbäck ",Journalism Studies,Fact or Fiction?,2018,"journalism, opinion polls, political communication, public opinion"
51,Nete Nørgaard Kristensen ,Journalism Studies,Churnalism,2018,"arts journalism, bestsellers, churnalism, cultural intermediaries, cultural intermediation, cultural journalism, Millennium books, meta-coverage"
52,Linda Steiner ,Journalism Studies,Solving Journalism’s Post-Truth Crisis With Feminist Standpoint Epistemology,2018,"emotion, Ronan Farrow, feminist standpoint epistemology, objectivity, sexual harassment, subjectivity"
53,Silvio Waisbord ,Journalism Studies,Truth is What Happens to News,2018,"Fake news, post-truth, journalism, public communication"
54,Matt Carlson ,Journalism Studies,The Information Politics of Journalism in a Post-Truth Age,2018,"authority, information politics, journalism, metajournalistic discourse, post-truth, press criticism, professionalism"
55,"Mark Blach-Ørsten, Jannie Møller Hartley, Maria Bendix Wittchen ",Journalism Studies,A Matter of Trust,2018,"Denmark, ethics, journalism, paradigm repair, plagiarism, scandal, transparency"
56,"Andrea Carson, Kate Farhall ",Journalism Studies,Understanding Collaborative Investigative Journalism in a “Post-Truth” Age,2018,"collaborative investigative journalism, fake news, watchdog reporting"
57,"Scott A. Eldridge II, Henrik Bødker ",Journalism Studies,Negotiating Uncertain Claims,2018,"inference, verifiable/unverifiable information, leaks, journalistic community, journalistic performances"
58,"Michael Karlsson, Christer Clerwall ",Journalism Studies,Transparency to the Rescue?,2018,"credibility, focus groups, experiment, norms, survey, transparency"
59,Allaina Kilby ,Journalism Studies,Provoking the Citizen,2018,"advocacy journalism, citizens, Full Frontal, Last Week Tonight with John Oliver, satire, Trump"
60,"Rachel R. Mourão, Esther Thorson, Weiyue Chen, Samuel M. Tham ",Journalism Studies,Media Repertoires and News Trust During the Early Trump Administration,2018,"Political communication, media trust, Trump, news repertoires"
61,Mette Mortensen ,Journalism Studies,The Self-Censorship Dilemma,2018,"Images of terrorists, media self-censorship, public service media, post-factuality"
62,Olivier Nyirubugara ,Journalism Studies,Shooting Kids,2018,"Al jazeera, children, ethics, information war, Russia Today, war reporting"
63,Vera Slavtcheva-Petkova ,Journalism Studies,“Post-Truth” Politics,2018,"Bulgaria, corruption, journalism, normative ideals, “post-truth” politics, self-othering, Worlds of Journalism study"
64,Paul Stringer ,Journalism Studies,Finding a Place in the Journalistic Field,2018,"Bourdieu, BuzzFeed, cultural capital, digital journalism, journalistic field, news startups, online journalism"
65,"Tim P. Vos, Ryan J. Thomas ",Journalism Studies,The discursive construction of journalistic authority in a post-truth age,2018,"Journalistic authority, discursive institutionalism, metajournalistic discourse, discourse analysis"
66,"Adrian Hadland, Camilla Barnett ",Journalism Studies,The Gender Crisis in Professional Photojournalism,2018,"Photojournalism, gender, precarity, journalism, photography, gaze"
67,"Guus Bartholomé, Sophie Lecheler, Claes de Vreese ",Journalism Studies,Towards A Typology of Conflict Frames,2018,"conflict, content analysis, framing, interventionism, political journalism, substantiveness"
68,Ayo Adeduntan ,Journalism Studies,Truth,2018,"broadcast media, newspaper review, performativity, Yoruba language"
69,Errol Salamon ,Journalism Studies,Temporary Labor Convergence,2018,"chain ownership, convergence, journalism history, labor movement, newspaper workers, political economy of journalism, print journalism industry, unions"
70,Deepa Fadnis ,Journalism Studies,Uncovering Rape Culture,2018,"Delhi gang rape case 2012, gender violence, hierarchy-of-influences, patriarchy, rape in India, socialization, The Times of India"
71,Kate Holland ,Journalism Studies,Making Mental Health News,2018,"biocommunicability, biomediatisation, health journalism, journalism, journalism studies, media, media criticism, mental health"
72,"Petro Tolochko, Hajo G. Boomgaarden ",Journalism Studies,Analysis of Linguistic Complexity in Professional and Citizen Media,2018,"citizen journalism, complexity, cross-media comparison, journalism, quality newspapers, tabloid newspapers"
73,"Shixin Ivy Zhang, Xiaoling Zhang ",Journalism Studies,Foreign Correspondents,2018,"audience, China, foreign correspondents, foreign policy, identity, journalistic practice, media culture"
74,"Edda Humprecht, Frank Esser ",Journalism Studies,Diversity in Online News,2018,"content analysis, diversity, international comparison, online news, public service media, public sphere"
75,"Alex Westcott Campbell, Charles Critcher ",Journalism Studies,The Bigger Picture,2018,"conflict, encoding/decoding, feminism, gender, photography, semiotics, war"
76,Karen Boyle ,Journalism Studies,Hiding in Plain Sight,2018,"child sexual abuse, gender, gender-based violence, Jimmy Savile, journalism, news"
77,"Riva Brown, Hazel James Cole, Melody Fisher ",Journalism Studies,Race and Anti-LGBT Legislation,2018,"emotional appeal, frame, LGBT, newspaper, race, tone"
78,"Habib Qazi, Saeeda Shah ",Journalism Studies,Identity Constructions Through Media Discourses,2018,"audience, Critical Discourse Analysis (CDA), identity constructions, ideology, Malala Yousafzai, media discourse, the Taliban"
79,Fay Anderson ,Journalism Studies,Perilous,2018,"newspaper photographers, oral history, Post-Traumatic Stress Disorder (PTSD), trauma"
80,"Nicole Neverson, Charles T. Adeyanju ",Journalism Studies,Worth a Thousand Words,2018,"discourse analysis, media representation, new media event, policing, Taser®"
81,"Kristin A. Glad, Siri Thoresen, Gertrud S. Hafstad, Grete Dyb ",Journalism Studies,Survivors Report Back,2018,"approach, coverage, interview, reporters, survivors, terrorist attack, trauma journalism"
82,"Bente Kalsnes, Anders Olof Larsson ",Journalism Studies,Understanding News Sharing Across Social Media,2018,"Facebook, news, news sharing, Norway, social media, Twitter"
83,"Oren Soffer, Galit Gordoni ",Journalism Studies,To Post or not to Post?,2018,"Israel, participatory journalism, theory of planned behavior, user comments"
84,Neil Thurman ,Journalism Studies,Newspaper Consumption in the Mobile Age,2018,"attention, audience measurement, comScore, engagement, mobile audience, newspaper readership, ratings analysis, time spent"
85,"Michael Buozis, Brian Creech ",Journalism Studies,Reading News as Narrative,2018,"genre studies, journalism and literary studies, news as text, news narratives"
86,"Randal A. Beam, Sue Lockett John, Michael Mead Yaqub ",Journalism Studies,“We Don’t Cover Suicide … (Except When We Do Cover Suicide)”,2018,"contagion, journalists, news values, newsworthy, routinization, suicide"
87,"Claudia Kozman, Jad Melki ",Journalism Studies,News Media Uses During War,2018,"Arab audiences, Arab journalism, journalism and war, media and war, media literacy, news literacy, Syria war, uses and gratifications"
88,"Bengt Johansson, Tomas Odén ",Journalism Studies,Struggling for the Upper Hand,2018,"crisis communication, journalist–source relationship, news, organizational communication, social media"
89,Alistair S. Duff ,Journalism Studies,On Political Epunditry,2018,"deliberative democracy, epunditry, fifth estate, information society, opinion"
90,Nancy Worthington ,Journalism Studies,Wishful Thinking in Specialized Journalism,2018,"audiences, digital era, female, gender, The Hollywood Reporter, trade publications, Variety, viewers"
91,Maria Karidi ,Journalism Studies,News Media Logic on the Move?,2018,"content analysis, Germany, journalism, market/audience orientation, media logic, media system, news"
92,"Annelore Deprez, Sarah Van Leuven ",Journalism Studies,About Pseudo Quarrels and Trustworthiness,2018,"health journalism, inter-media agenda setting, network society, news access, sourcing practices, Twitter"
93,Sanem Şahin ,Journalism Studies,Journalism and Professionalism in Ethnic Media,2018,"ethnic media, immigrant, professionalism, role conception, Turkish-language media, Turkish-speaking community"
94,"Yael de Haan, Sanne Kruikemeier, Sophie Lecheler, Gerard Smit, Renee van der Nat ",Journalism Studies,When Does an Infographic Say More Than a Thousand Words?,2018,"infographics, mixed-method, visual storytelling, visualizations"
95,"T. J. Thomson, Gregory Perreault, Margaret Duffy ",Journalism Studies,Politicians,2018,"fantasy theme analysis, media ownership, media production, news media values, Pope Francis, religious leaders, symbolic convergence theory, visual analysis"
96,Lindsay Palmer ,Journalism Studies,Lost in Translation,2018,"discourse analysis, foreign reporting, global media ethics, news fixers, safety and security, war"
97,Ben Cocking ,Journalism Studies,News Values Go on Holiday,2018,"discourse analysis, Harcup and O’Neill, news values, travel journalism"
98,Will Mari ,Journalism Studies,Technology in the Newsroom,2018,"newsroom, technology adoption, telephone, radio, agency"
99,Deepa Kumar ,Journalism Studies,The Right Kind of “Islam”,2018,"Cold War, Islam, Islamic unity, journalism, news, political Islam, Saudi Arabia, United States"
100,Katy Parry ,Journalism Studies,Private Pictures and Public Secrets,2018,"Afghanistan, focus groups, killing, mediation, military, photography, transgression, war"
101,Rodrigo Zamith ,Journalism Studies,On Metrics-Driven Homepages,2018,"analytics, audiences, computational social science, gatekeeping, homepages, metrics, online news, popularity"
102,Toussaint Nothias ,Journalism Studies,How Western Journalists Actually Write About Africa,2018,"Africa, Afro-pessimism, foreign correspondents, linguistics, newspapers, postcolonial, representation, tribalism"
103,Keith Lewis ,Journalism Studies,The “Buen Vivir” and “Twenty-First Century Socialism”,2018,"cultural political economy, (de)legitimation, Fairclough, (post-) neoliberalism, UK broadsheet newspapers"
104,"Víctor García-Perdomo, Ramón Salaverría, Danielle K. Kilgo, Summer Harlow ",Journalism Studies,To Share or Not to Share,2018,"news topics, news values, online media, online native, online shares, social media, social recommendations, traditional media"
105,"Margaret Simons, Jenny Morgan ",Journalism Studies,Changing Media Coverage of Violence Against Women,2018,"journalism, journalism sources, media, media reporting, social media, violence against women"
106,"Dani Madrid-Morales, Herman Wasserman ",Journalism Studies,Chinese Media Engagement in South Africa,2018,"Africa–China, globalization, journalism and information flows, professional norms, South Africa"
107,"Joy Jenkins, Yong Volz ",Journalism Studies,Players and Contestation Mechanisms in the Journalism Field,2018,"field theory, historical analysis, journalism awards, journalism history, journalistic field, media institutions, professionalization"
108,"Mohammed el-Nawawy, Mohamad Hamas Elmasry ",Journalism Studies,Is America “Post-Racist”?,2018,"Anderson Cooper, Bill O’Reilly, Charleston, Confederate Flag, Critical Race Theory, discourse analysis, racism"
109,"Anna Leupold, Ulrike Klinger, Otfried Jarren ",Journalism Studies,Imagining the City,2018,"Germany, local journalism, social cohesion, standardized content analysis, urban communication"
110,"Alyt Damstra, Rens Vliegenthart ",Journalism Studies,(Un)covering the Economic Crisis?,2018,"content analysis, economic crisis, framing, mass media, media coverage, The Netherlands"
111,"Katie Artemas, Tim P. Vos, Margaret Duffy ",Journalism Studies,Journalism Hits a Wall,2018,"advertising, institutional norms, metaphors, news, news organizations, rhetoric, wall of separation"
112,"Merryn Sherwood, Penny O’Donnell ",Journalism Studies,Once a Journalist,2018,"industry restructure, institutional legitimacy, job loss, journalism, media work, professional identity, re-employment"
113,"Marina Ghersetti, Oscar Westlund ",Journalism Studies,Habits and Generational Media Use,2018,"complementary effects, crisis communication, displacing effects, GC/MC model, generations, habitual media use, locative media, mobile news"
114,"Gunnar Nygren, Michal Glowacki, Jöran Hök, Ilya Kiria, Dariya Orlova, Daria Taradai ",Journalism Studies,Journalism in the Crossfire,2018,"journalistic culture, professional values, Russia, self-censorship, Ukraine, war reporting"
115,"Tim P. Vos, J. David Wolfgang ",Journalism Studies,Journalists’ Normative Constructions of Political Viewpoint Diversity,2018,"field theory, in-depth interviews, journalistic capital, normative roles, political journalists, political viewpoints"
